county,lymecasespred
Adams042,123.348414074
Addison050,40.1828197219
Albany036,155.531080512
Allegany036,12.4438988587
Allegheny042,230.882285442
Androscoggin023,82.779835211
Armstrong042,116.444029369
Aroostook023,8.27900158674
Atlantic034,131.12024274
Barnstable025,207.699936838
Beaver042,91.088603973
Bedford042,41.3759256553
Belknap033,74.7632911709
Bennington050,78.7500011735
Bergen034,140.541397497
Berks042,170.032720242
Berkshire025,109.154450315
Blair042,117.298907645
Bradford042,38.5276061271
Bristol025,234.524533168
Bristol044,87.9114508668
Bronx036,74.633410169
Broome036,80.8917364388
Bucks042,304.484641068
Burlington034,209.379089447
Butler042,178.817220802
Caledonia050,26.8439387194
Cambria042,97.7578933683
Camden034,99.6563848817
Cameron042,15.7175554686
Cape May034,66.8228292246
Carbon042,73.5411925952
Carroll033,57.9223426523
Cattaraugus036,16.5960247689
Cayuga036,10.3280085375
Centre042,127.141880185
Chautauqua036,13.8885337997
Chemung036,68.1211106717
Chenango036,43.3336349205
Cheshire033,71.5246842581
Chester042,435.104237725
Chittenden050,92.5195696748
Clarion042,87.2673292684
Clearfield042,138.239019139
Clinton036,31.4793319954
Clinton042,57.0796453706
Columbia036,152.379672902
Columbia042,66.5493128283
Coos033,8.82526157549
Cortland036,29.0885000907
Crawford042,20.3262972485
Cumberland023,110.63573871
Cumberland034,132.879609533
Cumberland042,214.346424295
Dauphin042,223.236126544
Delaware036,27.0859247327
Delaware042,144.566942902
Dukes025,46.6862757563
Dutchess036,260.270044622
Elk042,48.2491078072
Erie036,53.8332368522
Erie042,51.1135093983
Essex025,291.664537672
Essex034,121.324114035
Essex036,43.6838271684
Essex050,2.62096146359
Fayette042,39.1084567716
Forest042,26.0642270565
Franklin023,9.59021196189
Franklin025,88.8618828676
Franklin036,20.637353871
Franklin042,104.295487215
Franklin050,24.070576107
Fulton036,30.4753310757
Fulton042,36.9344696195
Genesee036,7.41428345591
Gloucester034,141.995722148
Grafton033,57.6185409629
Grand Isle050,21.6752100102
Greene036,126.782133506
Greene042,14.4051282381
Hamilton036,4.64211739514
Hampden025,167.643415011
Hampshire025,388.435561456
Hancock023,31.3056670906
Herkimer036,33.2859748623
Hillsborough033,198.285050897
Hudson034,64.7570868148
Hunterdon034,240.75843212
Huntingdon042,62.8806917137
Indiana042,115.047483471
Jefferson036,31.8728412994
Jefferson042,104.416070753
Juniata042,62.9238372478
Kennebec023,83.6559878509
Kent044,155.059417009
Kings036,135.410948614
Knox023,70.8883909736
Lackawanna042,61.8502490348
Lamoille050,21.67162364
Lancaster042,122.163628274
Lawrence042,78.9896771089
Lebanon042,193.237683525
Lehigh042,291.612262797
Lewis036,11.7289988097
Lincoln023,54.1211329829
Livingston036,14.1045967016
Luzerne042,133.887003564
Lycoming042,75.8268817928
Madison036,35.1011987544
McKean042,21.7824769008
Mercer034,207.626494336
Mercer042,44.6855447141
Merrimack033,117.56115823
Middlesex025,595.115966868
Middlesex034,133.097528471
Mifflin042,71.8914666399
Monmouth034,281.887933492
Monroe036,86.7297435056
Monroe042,191.966065559
Montgomery036,32.080728911
Montgomery042,475.248433504
Montour042,61.6630461587
Morris034,281.436400359
Nantucket025,58.1164341832
Nassau036,90.6615975038
New York036,0.373954859384
Newport044,102.310249184
Niagara036,51.6475003822
Norfolk025,313.752242013
Northampton042,218.846733032
Northumberland042,95.318139581
Ocean034,179.271502727
Oneida036,56.6798672239
Onondaga036,77.2002953396
Ontario036,20.3856420213
Orange036,209.33930448
Orange050,38.1681089568
Orleans036,6.27053282323
Orleans050,11.7989937553
Oswego036,27.3159334345
Otsego036,41.4913662025
Oxford023,33.2229678395
Passaic034,159.662833614
Penobscot023,21.1704227666
Perry042,55.9881389188
Philadelphia042,142.645955103
Pike042,72.4081495236
Piscataquis023,4.33176087238
Plymouth025,270.826761602
Potter042,10.8576323343
Providence044,232.672870381
Putnam036,197.848481183
Queens036,94.1100628177
Rensselaer036,177.201086925
Richmond036,77.9182569353
Rockingham033,217.41622075
Rockland036,584.064804414
Rutland050,77.6696261819
Sagadahoc023,47.1229409286
Salem034,51.6127791892
Saratoga036,104.616287935
Schenectady036,84.0119666362
Schoharie036,34.0922513599
Schuyler036,19.904378897
Schuylkill042,74.8653815293
Seneca036,11.1596367802
Snyder042,85.9963334486
Somerset023,10.1743290911
Somerset034,255.494416376
Somerset042,52.5772594834
St. Lawrence036,47.0140529778
Steuben036,15.954189719
Strafford033,156.026368511
Suffolk025,112.989121362
Suffolk036,280.668316349
Sullivan033,54.0231848113
Sullivan036,48.2309704512
Sullivan042,11.6761710099
Susquehanna042,29.2379804313
Sussex034,215.461350237
Tioga036,40.6813461607
Tioga042,18.2733003736
Tompkins036,76.4881569069
Ulster036,197.058819778
Union034,113.123145395
Union042,71.2169758558
Venango042,42.0418268733
Waldo023,39.7378376251
Warren034,333.816826703
Warren036,65.5278669064
Warren042,18.1288776464
Washington023,7.94277090735
Washington036,84.7714022447
Washington042,92.4703095778
Washington044,232.201509822
Washington050,50.1927152666
Wayne036,11.9489594989
Wayne042,57.5323284285
Westchester036,148.694401327
Westmoreland042,199.93577435
Windham050,73.4091397841
Windsor050,70.2808914004
Worcester025,242.221975367
Wyoming036,11.8635708889
Wyoming042,51.8797405933
Yates036,11.0528880181
York023,126.898765702
York042,318.952972868
